,ID,azimuth,dis,x,y,z
24593,1,359.88,2.01,-0.004066364,1.941542966,-0.520090736
24617,2,359.88,2,-0.004081925,1.948972723,-0.448874886
24641,3,359.88,1.98,-0.004070713,1.943619539,-0.377791634
24665,4,359.88,1.96,-0.004054517,1.935886302,-0.306476402
24689,5,359.88,1.97,-0.004095342,1.955379016,-0.239533157
24713,6,359.88,1.96,-0.004089364,1.952524798,-0.170968384
24737,7,359.88,1.95,-0.004078451,1.947313873,-0.102235247
24761,8,359.88,1.96,-0.004104383,1.95969563,-0.034295645
24785,9,359.88,2.09,-0.004228604,2.019006957,0.54008613
24809,10,359.88,2.08,-0.004244854,2.02676529,0.467551537
24833,11,359.88,2.01,-0.004132632,1.97318336,0.382923423
24857,12,359.88,2,-0.004137102,1.975317713,0.313213694
24881,13,359.88,1.99,-0.004136856,1.97520058,0.242209732
24905,14,359.88,1.96,-0.004089387,1.952535537,0.170845703
24929,15,359.88,1.98,-0.004141196,1.977272548,0.103808097
24953,16,359.88,1.98,-0.004146296,1.979707512,0.033778336
24581,1,359.7,2.01,-0.010165871,1.941520611,-0.520090736
24605,2,359.7,1.99,-0.010153749,1.93920553,-0.446630511
24629,3,359.7,1.98,-0.010176744,1.943597159,-0.377791634
24653,4,359.7,1.95,-0.010084537,1.925987154,-0.304912746
24677,5,359.7,1.96,-0.010186345,1.945430833,-0.238317253
24701,6,359.7,1.95,-0.010171212,1.94254057,-0.170096096
24725,7,359.7,1.96,-0.010248375,1.957277561,-0.10275953
24749,8,359.7,1.97,-0.01031327,1.969671397,-0.034470623
24773,9,359.7,2.09,-0.010571471,2.018983709,0.54008613
24797,10,359.7,2.07,-0.010561073,2.016998001,0.465303693
24821,11,359.7,2.01,-0.010331539,1.97316064,0.382923423
24845,12,359.7,2,-0.010342715,1.975294968,0.313213694
24869,13,359.7,1.99,-0.010342101,1.975177837,0.242209732
24893,14,359.7,1.97,-0.010275588,1.962474856,0.171717364
24917,15,359.7,1.97,-0.010300663,1.967263671,0.103283813
24941,16,359.7,1.98,-0.0103657,1.979684716,0.033778336
24592,1,359.52,2.01,-0.016265278,1.941479093,-0.520090736
24616,2,359.52,1.99,-0.016245883,1.939164062,-0.446630511
24640,3,359.52,1.99,-0.01636491,1.953371534,-0.379699673
24664,4,359.52,1.97,-0.016300633,1.945699261,-0.308040057
24688,5,359.52,1.95,-0.016214883,1.935463776,-0.237101348
24712,6,359.52,1.96,-0.016357278,1.952460563,-0.170968384
24736,7,359.52,1.95,-0.016313624,1.947249809,-0.102235247
24760,8,359.52,1.96,-0.016417352,1.959631159,-0.034295645
24784,9,359.52,2.09,-0.016914232,2.018940534,0.54008613
24808,10,359.52,2.08,-0.016979228,2.026698613,0.467551537
24832,11,359.52,2.01,-0.016530345,1.973118446,0.382923423
24856,12,359.52,2,-0.016548226,1.975252728,0.313213694
24880,13,359.52,1.99,-0.016547244,1.975135599,0.242209732
24904,14,359.52,1.96,-0.016357368,1.952471301,0.170845703
24928,15,359.52,1.97,-0.016480943,1.967221602,0.103283813
24952,16,359.52,1.97,-0.016501239,1.969644188,0.033607739
24580,1,359.34,2.02,-0.02247579,1.951077211,-0.522678252
24604,2,359.34,2,-0.022450107,1.948847693,-0.448874886
24628,3,359.34,1.98,-0.022388444,1.943494852,-0.377791634
24652,4,359.34,1.97,-0.022413137,1.945638449,-0.308040057
24676,5,359.34,1.96,-0.022409566,1.945328429,-0.238317253
24700,6,359.34,1.96,-0.022491023,1.95239954,-0.170968384
24724,7,359.34,1.95,-0.022430999,1.947188949,-0.102235247
24748,8,359.34,1.96,-0.022573623,1.959569912,-0.034295645
24772,9,359.34,2.09,-0.023256827,2.018877434,0.54008613
24796,10,359.34,2.08,-0.023346195,2.02663527,0.467551537
24820,11,359.34,2.01,-0.022728988,1.973056777,0.382923423
24844,12,359.34,2,-0.022753573,1.975190993,0.313213694
24868,13,359.34,1.98,-0.022637891,1.965148873,0.240992598
24892,14,359.34,1.96,-0.022491147,1.952410278,0.170845703
24916,15,359.34,1.97,-0.02266106,1.967160118,0.103283813
24940,16,359.34,1.97,-0.022688967,1.969582629,0.033607739
24591,1,359.16,2.01,-0.028463549,1.941338572,-0.520090736
24615,2,359.16,1.99,-0.028429609,1.939023709,-0.446630511
24639,3,359.16,1.98,-0.028493992,1.943414926,-0.377791634
24663,4,359.16,1.96,-0.028380621,1.935682504,-0.306476402
24687,5,359.16,1.95,-0.02837536,1.935323691,-0.237101348
24711,6,359.16,1.95,-0.028478502,1.942358436,-0.170096096
24735,7,359.16,1.95,-0.028548152,1.947108871,-0.102235247
24759,8,359.16,1.97,-0.028876252,1.969486719,-0.034470623
24783,9,359.16,2.09,-0.029599193,2.018794408,0.54008613
24807,10,359.16,2.07,-0.029570081,2.016808886,0.465303693
24831,11,359.16,2.01,-0.028927406,1.972975635,0.382923423
24855,12,359.16,2,-0.028958696,1.975109763,0.313213694
24879,13,359.16,1.98,-0.028811467,1.965068057,0.240992598
24903,14,359.16,1.97,-0.028770748,1.962290853,0.171717364
24927,15,359.16,1.97,-0.028840954,1.967079219,0.103283813
24951,16,359.16,1.98,-0.029023052,1.9794991,0.033778336
24579,1,358.98,2.01,-0.034562294,1.941239571,-0.520090736
24603,2,358.98,2,-0.034694554,1.948668167,-0.448874886
24627,3,358.98,1.99,-0.034774004,1.953130545,-0.379699673
24651,4,358.98,1.96,-0.034461597,1.935583791,-0.306476402
24675,5,358.98,1.95,-0.034455209,1.935224997,-0.237101348
24699,6,358.98,1.95,-0.034580451,1.942259383,-0.170096096
24723,7,358.98,1.95,-0.034665024,1.947009576,-0.102235247
24747,8,358.98,1.96,-0.034885438,1.959389399,-0.034295645
24771,9,358.98,2.09,-0.035941266,2.018691457,0.54008613
24795,10,358.98,2.08,-0.036079375,2.026448578,0.467551537
24819,11,358.98,2.01,-0.035125539,1.972875021,0.382923423
24843,12,358.98,1.99,-0.034987716,1.965133995,0.311647625
24867,13,358.98,1.99,-0.035161448,1.974891926,0.242209732
24891,14,358.98,1.97,-0.034935314,1.962190783,0.171717364
24915,15,358.98,1.97,-0.035020563,1.966978905,0.103283813
24939,16,358.98,1.97,-0.03506369,1.969401193,0.033607739
24590,1,358.8,2.01,-0.040660697,1.941121411,-0.520090736
24614,2,358.8,2,-0.040816295,1.948549555,-0.448874886
24638,3,358.8,1.97,-0.040498609,1.933383404,-0.375883596
24662,4,358.8,1.95,-0.040335385,1.925591149,-0.304912746
24686,5,358.8,1.96,-0.040742588,1.94503083,-0.238317253
24710,6,358.8,1.95,-0.040682058,1.942141161,-0.170096096
24734,7,358.8,1.95,-0.040781554,1.946891065,-0.102235247
24758,8,358.8,1.96,-0.041040859,1.959270134,-0.034295645
24782,9,358.8,2.1,-0.042485295,2.028226805,0.542670274
24806,10,358.8,2.08,-0.042445463,2.026325231,0.467551537
24830,11,358.8,2.01,-0.041323325,1.972754935,0.382923423
24854,12,358.8,2,-0.041368024,1.974888824,0.313213694
24878,13,358.8,1.99,-0.041365571,1.974771717,0.242209732
24902,14,358.8,1.97,-0.041099536,1.962071348,0.171717364
24926,15,358.8,1.97,-0.041199827,1.966859179,0.103283813
24950,16,358.8,1.98,-0.041459957,1.97927767,0.033778336
24578,1,358.62,2.02,-0.04699133,1.95064073,-0.522678252
24602,2,358.62,2.03,-0.047641697,1.977637887,-0.455608009
24626,3,358.62,1.98,-0.04680871,1.943060067,-0.377791634
24650,4,358.62,1.95,-0.046384599,1.92545493,-0.304912746
24674,5,358.62,1.95,-0.046613826,1.93497031,-0.237101348
24698,6,358.62,1.95,-0.046783264,1.94200377,-0.170096096
24722,7,358.62,1.96,-0.047138183,1.956736689,-0.10275953
24746,8,358.62,1.95,-0.046955079,1.949135963,-0.034120667
24770,9,358.62,2.09,-0.048624285,2.018425785,0.54008613
24794,10,358.62,2.08,-0.048811131,2.026181886,0.467551537
24818,11,358.62,2.02,-0.047757125,1.982429386,0.384828514
24842,12,358.62,2,-0.047572106,1.974749117,0.313213694
24866,13,358.62,1.99,-0.047569285,1.974632019,0.242209732
24890,14,358.62,1.97,-0.047263352,1.961932548,0.171717364
24914,15,358.62,1.97,-0.047378683,1.96672004,0.103283813
24938,16,358.62,1.98,-0.047677826,1.979137653,0.033778336
24589,1,358.44,2.02,-0.053119206,1.950483477,-0.522678252
24613,2,358.44,2,-0.053058506,1.948254637,-0.448874886
24637,3,358.44,1.98,-0.052912772,1.942903425,-0.377791634
24661,4,358.44,1.98,-0.053240022,1.954919702,-0.309603712
24685,5,358.44,1.99,-0.053773346,1.974502819,-0.241964966
24709,6,358.44,1.94,-0.052612807,1.931889022,-0.169223809
24733,7,358.44,1.96,-0.053285209,1.956578944,-0.10275953
24757,8,358.44,1.94,-0.052806033,1.938984067,-0.033945689
24781,9,358.44,2.09,-0.054965107,2.018263067,0.54008613
24805,10,358.44,2.08,-0.055176318,2.026018543,0.467551537
24829,11,358.44,2.02,-0.053984864,1.98226957,0.384828514
24853,12,358.44,2,-0.053775718,1.974589921,0.313213694
24877,13,358.44,1.99,-0.053772529,1.974472831,0.242209732
